date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:06:43	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2266a7e765-239b%22	https://mahisazzad.github.io/robots.txt		(from )
20:06:43	5177/5177	---M-Z	200	added ('OK')	text/html	etag:W/%2266ac9ad6-1439%22	https://mahisazzad.github.io/Legal-help-ofline/	D:/my%20websites%20churi%20kora/legal/mahisazzad.github.io/Legal-help-ofline/index.html	(from )
20:06:43	2752/2752	---M-Z	200	added ('OK')	text/css	etag:W/%2266ac9ad6-ac0%22	https://mahisazzad.github.io/Legal-help-ofline/styles.css	D:/my%20websites%20churi%20kora/legal/mahisazzad.github.io/Legal-help-ofline/styles.css	(from https://mahisazzad.github.io/Legal-help-ofline/)
20:06:43	3183/3183	---M-Z	200	added ('OK')	text/html	etag:W/%2266ac9ad6-c6f%22	https://mahisazzad.github.io/Legal-help-ofline/dhaka.html	D:/my%20websites%20churi%20kora/legal/mahisazzad.github.io/Legal-help-ofline/dhaka.html	(from https://mahisazzad.github.io/Legal-help-ofline/)
20:06:43	5718/5718	---M-Z	200	added ('OK')	text/html	etag:W/%2266ac9ad6-1656%22	https://mahisazzad.github.io/Legal-help-ofline/chittagong.html	D:/my%20websites%20churi%20kora/legal/mahisazzad.github.io/Legal-help-ofline/chittagong.html	(from https://mahisazzad.github.io/Legal-help-ofline/)
20:06:43	2341/2341	---M-Z	200	added ('OK')	text/html	etag:W/%2266ac9ad6-925%22	https://mahisazzad.github.io/Legal-help-ofline/rajshahi.html	D:/my%20websites%20churi%20kora/legal/mahisazzad.github.io/Legal-help-ofline/rajshahi.html	(from https://mahisazzad.github.io/Legal-help-ofline/)
20:06:44	3516/3516	---M-Z	200	added ('OK')	text/html	etag:W/%2266ac9ad6-dbc%22	https://mahisazzad.github.io/Legal-help-ofline/khulna.html	D:/my%20websites%20churi%20kora/legal/mahisazzad.github.io/Legal-help-ofline/khulna.html	(from https://mahisazzad.github.io/Legal-help-ofline/)
20:06:44	4930/4930	---M-Z	200	added ('OK')	text/html	etag:W/%2266ac9ad6-1342%22	https://mahisazzad.github.io/Legal-help-ofline/uni.html	D:/my%20websites%20churi%20kora/legal/mahisazzad.github.io/Legal-help-ofline/uni.html	(from https://mahisazzad.github.io/Legal-help-ofline/)
20:06:44	3307/3307	---M-Z	200	added ('OK')	text/html	etag:W/%2266ac9ad6-ceb%22	https://mahisazzad.github.io/Legal-help-ofline/others.html	D:/my%20websites%20churi%20kora/legal/mahisazzad.github.io/Legal-help-ofline/others.html	(from https://mahisazzad.github.io/Legal-help-ofline/)
20:06:44	4298/4298	---M-Z	200	added ('OK')	text/html	etag:W/%2266ac9ad6-10ca%22	https://mahisazzad.github.io/Legal-help-ofline/thana-dhaka.html	D:/my%20websites%20churi%20kora/legal/mahisazzad.github.io/Legal-help-ofline/thana-dhaka.html	(from https://mahisazzad.github.io/Legal-help-ofline/)
20:06:45	1908/1908	---M-Z	200	added ('OK')	text/html	etag:W/%2266ac9ad6-774%22	https://mahisazzad.github.io/Legal-help-ofline/thana-chittagong.html	D:/my%20websites%20churi%20kora/legal/mahisazzad.github.io/Legal-help-ofline/thana-chittagong.html	(from https://mahisazzad.github.io/Legal-help-ofline/)
20:06:45	1437/1437	---M-Z	200	added ('OK')	text/html	etag:W/%2266ac9ad6-59d%22	https://mahisazzad.github.io/Legal-help-ofline/thana-rajshahi.html	D:/my%20websites%20churi%20kora/legal/mahisazzad.github.io/Legal-help-ofline/thana-rajshahi.html	(from https://mahisazzad.github.io/Legal-help-ofline/)
20:06:45	1467/1467	---M-Z	200	added ('OK')	text/html	etag:W/%2266ac9ad6-5bb%22	https://mahisazzad.github.io/Legal-help-ofline/thana-khulna.html	D:/my%20websites%20churi%20kora/legal/mahisazzad.github.io/Legal-help-ofline/thana-khulna.html	(from https://mahisazzad.github.io/Legal-help-ofline/)
20:06:45	1676/1676	---M-Z	200	added ('OK')	text/html	etag:W/%2266ac9ad6-68c%22	https://mahisazzad.github.io/Legal-help-ofline/gallery.html	D:/my%20websites%20churi%20kora/legal/mahisazzad.github.io/Legal-help-ofline/gallery.html	(from https://mahisazzad.github.io/Legal-help-ofline/)
20:06:45	9115/9115	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2266a7e765-239b%22	https://mahisazzad.github.io/service-worker.js	D:/my%20websites%20churi%20kora/legal/mahisazzad.github.io/service-worker.js	(from https://mahisazzad.github.io/Legal-help-ofline/)
20:06:46	5177/5177	---M-Z	200	added ('OK')	text/html	etag:W/%2266ac9ad6-1439%22	https://mahisazzad.github.io/Legal-help-ofline/index.html	D:/my%20websites%20churi%20kora/legal/mahisazzad.github.io/Legal-help-ofline/index-2.html	(from https://mahisazzad.github.io/Legal-help-ofline/dhaka.html)
20:06:46	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://mahisazzad.github.io/Legal-help-ofline/thana.html	D:/my%20websites%20churi%20kora/legal/mahisazzad.github.io/Legal-help-ofline/thana.html	(from https://mahisazzad.github.io/Legal-help-ofline/thana-dhaka.html)
20:06:46	8781/8781	---M--	200	added ('OK')	image/jpeg	etag:%2266ac9ad6-224d%22	https://mahisazzad.github.io/Legal-help-ofline/images/hero1.jpeg	D:/my%20websites%20churi%20kora/legal/mahisazzad.github.io/Legal-help-ofline/images/hero1.jpg	(from https://mahisazzad.github.io/Legal-help-ofline/gallery.html)
20:06:47	7274/7274	---M--	200	added ('OK')	image/jpeg	etag:%2266ac9ad6-1c6a%22	https://mahisazzad.github.io/Legal-help-ofline/images/hero2.jpeg	D:/my%20websites%20churi%20kora/legal/mahisazzad.github.io/Legal-help-ofline/images/hero2.jpg	(from https://mahisazzad.github.io/Legal-help-ofline/gallery.html)
